sentence	sentence_id	locale	reason
Ja nyt se ählämi änkee meille kylälle mun lapsen kaa.	0b4bfd1393a6867c97f039b85bcb9dd8f817a519a0552d5beea5799a2596a640	fi	offensive-language
Eli oliot olivat selkeästi valmiita napostelemaan meidät välipalaksi.	1c4084ca9887c7c9127fc9c81198905e7ec02979a7b5757940f1c7838f9f8cc7	fi	grammar-or-spelling
Silmäni lupsuivat kiinni, muuta jollain tahdonvoimalla sain avattua ne yhä uudelleen ja uudelleen.	36d55ebb434d747102ae4c209b2fe06540354ab880bd4f7efbd7e5b487d64448	fi	grammar-or-spelling
Kun ajattelen jälkeenpäin arkkiin pääsemistä, en ole varma avaruusmatkan alkamisessa edes aihetta iloon.	3ce6a66d1be0c6c59afe6361a5e74dc11641c7bd6adf7bff58114e9421bcd1bf	fi	grammar-or-spelling
Nyt kaiken maailman koirat ja kissat vievät arkkipaikkoja ihmisiltä.	621b4bf2ec8b9fa7e0f63e7a12e67a5d00416e450e5db0027258356f0f406f38	fi	grammar-or-spelling
Löysin tutun sohokanin myyjän.	6c7483ccdfc6f8a84cf3e9f36f995e8d65a21e2307125cecef2e9eec9c33c367	fi	sohokani?
Kenellä on hirsiä niistä, tekaisee.	7106f6b6a8580faca646be8f7b59793a49d7163a4de3dd71fd1396793f7adfe1	fi	unnatural language
Katsoin kysyvästi Victoria huomaten hänen järkyttyneen ilmeensä:	8c3cc6be6e9edff30b917eacad5b9c26dc465fcaca4ec953957da5aa04a7e075	fi	grammar-or-spelling
Ja antaako tämä Aapeli?	98ee37885cd2ad5480f0c5b5c7c5f4feaa1b4841320654b740ec5152aa8c40b1	fi	grammar-or-spelling
Katselin saamamme viestiä.	b0e6602d18cf23966dcfaae1e61521f7359aa62c16b69ca26a225a7ad06ce873	fi	grammar-or-spelling
Osan oli jäätävä riutuvalle planeetalle, muuta heitäkään ei unohdettaisi.	8e1d6ed0090a01ec7e8db1a88d29495c73f094ab527a2ad62418b5f871c17d72	fi	grammar-or-spelling
Katsoin kysyvästi Victoria huomaten hänen järkyttyneen ilmeensä:	8c3cc6be6e9edff30b917eacad5b9c26dc465fcaca4ec953957da5aa04a7e075	fi	grammar-or-spelling
Joni katsoi pöllämystyneenä seuralaistaan.	b3b435e420adde70ca2d25a58dc26fc881cd391f80a4ea0b5132fd64873d9f1a	fi	grammar-or-spelling
Tankki toisena jälkeen muuttui täysin toimintakyvyttömäksi.	25de77b087425c20d310c97d9f3f6589a8d8a85b7dd9533e28edb39cecc15e0d	fi	grammar-or-spelling
Amsterdamin sopimuksessa tämä on suunniteltu toteuttavan viisivuotiskauden aikana.	08c8bd2acd315a6d564f118e9a0cafd456978a65a0f11aad6a257441e4ebcb3b	fi	grammar-or-spelling
Hän ei malttanut odottaa siitä, että pääsisi kirmaamaan Hydruksen kedoilla.	2f8b54319db3e7a93cabf054a89fb9292109aa7f68636e226a4071673a2dfe54	fi	grammar-or-spelling
Kun minut vihdoin päästettiin pois sairaalasta, katsahdin Cassandran antamaa ositelappua uudestaan.	063cffe8c0ab02484e341c95f3a80e3adc70e75fa7c36d6a10946ac07809aa20	fi	grammar-or-spelling
Aloin kammeta itseään ylös sängystä.	1b44e280e1991466c5d202247c3a31536e7d6eb61a0d1d03644389e71365f29c	fi	grammar-or-spelling
Hydrus vaikuttaa tosin olevan ihmiselle suotuisa… Olivatkohan lonkeroiset vaihtolämpöisä kuin dinosaurukset?	d6ab2d378d3819af215e7d06af8065b382976c602fb393ac01aa65b20a6fcc17	fi	grammar-or-spelling
Alma el virkkanut mitään.	3482860143c81ec992125a0d744dde35e3c3a358a07a5aee263b125a77a86bee	fi	grammar-or-spelling
Kun ajattelen jälkeenpäin arkkiin pääsemistä, en ole varma avaruusmatkan alkamisessa edes aihetta iloon.	3ce6a66d1be0c6c59afe6361a5e74dc11641c7bd6adf7bff58114e9421bcd1bf	fi	grammar-or-spelling
Äänestin autoteollisuuden tulevaisuudesta laadituin yhteisen päätöslauselmaesityksen puolesta.	0acd52ecd30143b3f317588fe109ec46910d7c818e2d320f6495f3241514fef4	fi	grammar-or-spelling
Alus lennätti hänet kuuhun, josta hänen onnistui matkustamaan Marssiin.	4c232561e17bffc22dfbc930f1e1fb253c1cf5453bddd94ae6892515dedcbbbb	fi	grammar-or-spelling
Hän alkoi rankentaa lisää kaltaisiaan.	54ef7d0a6edaa5f4efa9d31d77df29fa8b834bad7dc9c642c2aabba195e0a7ca	fi	grammar-or-spelling
Demokratian periaate on autonomisen yliopiston päätöksentekoa perusta.	521acee60ea808852fe11d953382b34f605ec323e83aa8fa46bba49d10aa5a6c	fi	grammar-or-spelling
Helvetin maahanmuuttajat!	5ebe85ec0a7780fc61bf462199f08abb0f432c68cad4a69619931da125dddc83	fi	offensive-language
Silmäni lupsuivat kiinni, muuta jollain tahdonvoimalla sain avattua ne yhä uudelleen ja uudelleen.	36d55ebb434d747102ae4c209b2fe06540354ab880bd4f7efbd7e5b487d64448	fi	grammar-or-spelling
Hän vain palvelisi muita asiakkaita ja jättäisi minut huomioitta.	89b933e056a2d89be9c59a8b7d46a643b20a039288193b443f357d8de3c8f7e7	fi	grammar-or-spelling
Äänestetään esityksestä palauttamisesta valiokuntaan.	7f77d27a9429b2ea33508dbca43845f5df482318be236ca54c8967490f267f9f	fi	grammar-or-spelling
Harjani liehuu ja sierameni tulta syöksevät.	7387e92e0175eb789dd5e6bf6b666b7fa30a8999a05474e95ddc3585fcb2a374	fi	grammar-or-spelling
Ne suhisevat ja soivat yhtenä säveleenä.	90f2cbdb90dc39893a1d9088440c8108d0143d30d3fc2ac46c9731d03c6c84b6	fi	grammar-or-spelling
Osan oli jäätävä riutuvalle planeetalle, muuta heitäkään ei unohdettaisi.	8e1d6ed0090a01ec7e8db1a88d29495c73f094ab527a2ad62418b5f871c17d72	fi	grammar-or-spelling
Kuljin naapurin oven ohi myhäillen, sillä heidän aamujotlauksensa eivät enää pian häiritsisi ketään.	7c280e24627f05917e3e5781ec0e36ccbc43a771e863cdcfebcffc5beb169266	fi	grammar-or-spelling
Patsaan alta oli toisin paljastunut jotain mielenkiintoista.	912cd6bc569f81e7278e5c0d52abcd64f4ff0c2e291845797eb5962705d610de	fi	grammar-or-spelling
Minua väsyttää, muuta jos nukahdan, pelkään näkeväni taas painajaista.	acf84afbb037d8ab02ff9828e9bc7346d0358e384e529d614a5c6a2bf4418457	fi	grammar-or-spelling
Hän alkoi rankentaa lisää kaltaisiaan.	54ef7d0a6edaa5f4efa9d31d77df29fa8b834bad7dc9c642c2aabba195e0a7ca	fi	grammar-or-spelling
Minua väsyttää, muuta jos nukahdan, pelkään näkeväni taas painajaista.	acf84afbb037d8ab02ff9828e9bc7346d0358e384e529d614a5c6a2bf4418457	fi	grammar-or-spelling
En nähnyt siellä ketään, mutta huomioni kiinnittyy avonaisen häkkiin.	30b919e3b03526a8028a6eb6c9b90abff1f8ac7237d6d2c052fc2373b8fe8f9d	fi	grammar-or-spelling
Seinälle oli maalattu kuvia ja jotain kirjoitukselta muistuttavaa töherrystä.	30e835766d0a138379c515d6d88e7544077b0e80547a425e2d459c3efd6298a3	fi	grammar-or-spelling